,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Chainsaw Toy Truck 18,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Drill and Nail Extractor  11,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Good Times Fishing Reel,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,KRUPS Café Trio,Krups Cheese Grater,Mattel Bubble Extinguisher,Metronome,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Push-n-Go Train 13,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Small Projectile Toy,Stamp Machine 17,Stanley Electric Stapler,Super Maxx Ball Shooter-RBS,Tactical Nerf Toy Gun,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
74 Chevy Tailgate Support-RBS,0.0,3.539889794671573,3.6324496446591006,2.8489255653540226,1.8011830657924492,3.107668938570948,1.0720610853265915,2.5083938568250055,2.731105368390045,1.5081175922247672,1.8558886311225469,1.7909854032816401,2.821743752090724,1.4731491441643927,3.8458489649008136,1.4376614088886266,3.7903166852671553,3.968085296980642,1.0847036413078732,2.728929841472049,3.3680840294174423,1.9369918684543592,3.25236328915864,1.477514878769055,2.905186409728929,2.837693742059165,1.9299874820983838,1.3812544275190952,4.852367484234147,2.408257411589869,0.9896470689531238,3.822585070296893,3.545178513936402,5.189821818209179,3.5083429477397527,2.4901905769068042,2.898873542966495,2.2481442104440243,2.7266555117348457,5.982933334053292,5.378656752770324,1.431864531903984,3.185180952788509,2.7860926719434276,2.153107417685942,1.410707573128246,1.0032577591676057,2.8131661563712442,2.173774920587084,2.1036778317587443,3.476314756742777,3.275110293985822,2.8770845972195636,2.487441543199374,3.3670790337909087,1.7356870112988583,3.3275333451078413,1.781552442306797,2.256532086491255,1.7698659523612308,2.3319257169950687,1.3452239850013346,2.1557587914080902,2.0143453644829945,1.4263802930612612,6.30022867495114,2.0204532322637414,1.7909854032816472,2.9287359785407823,2.528922281323263
Air Compressor 22,3.539889794671573,0.0,2.6760880101907745,2.71200462830679,4.322190406392764,1.4576386287824594,2.806259642911488,3.353878685655624,1.7545787414150336,3.757313749693086,3.338229956428584,4.409246126722217,4.695872297300453,2.7502831356270057,1.7307083868948212,4.276491057414041,3.5714125282748896,3.189485453668541,3.50497204819676,5.183529453899493,1.4798882464555594,2.5125891672452805,3.7256350831992258,3.2791990760142085,1.2595262285937203,4.780573109845951,2.172779633850521,3.6426113415681325,2.353240730275786,3.429143476908362,3.3225899407123074,1.4797263575701087,1.4185384728407373,4.111913946064889,4.721870202623764,3.686931155366962,4.426659892977674,1.6857140382931068,5.360524194489088,4.997742025721772,4.014900157749849,3.8700663289559736,2.252493205049461,2.859946756568709,2.745475676765076,3.5411941547991885,3.323868445916867,2.6150651454990257,4.544253667055552,3.3798276916544303,6.216788956335976,1.272128571331569,2.68950586358588,1.3548510292178022,2.563220740710514,4.196381852451965,4.807384849782601,3.242254023604159,1.8211425100560128,2.4665209809714415,1.6139668516612382,2.6407618377156985,3.8708031156349616,4.108033516824973,2.6036328441488497,5.044056138495253,2.1134323774504695,4.409246126722217,1.8533939104542207,5.0927416616216465
B&D Cordless Screwdriver,3.6324496446591006,2.6760880101907745,0.0,1.5940168438411486,4.586174557389194,1.7802444949287128,3.374477380702687,2.9178370636110365,2.0787615885112096,3.972391673135126,4.459326774904425,4.916733780665487,5.580394339956883,3.0602184478001835,2.83515909488632,4.3516780697132225,2.3640453366755745,2.402815497862992,3.8097375759036485,5.730892139917151,1.8527856757921168,2.5708929709252035,3.218930577143471,4.117415625970262,2.7242813655581783,5.732084939529857,2.726375950724828,3.7972972790207726,2.795269318718274,4.671776172515761,3.768232565993588,2.310591326641128,2.3584060803457936,3.4101294527378445,3.87045071609578,4.205045743063594,4.949237076057121,2.3786214622311466,5.730871147429397,4.112568019138148,3.2473448421497415,4.469057184402354,2.646854680128827,3.274760584227018,3.920854772252915,3.453648083514594,3.6851978081581356,2.547832847690573,5.005386378270479,4.514504863145647,6.518925914950322,2.094445939669522,1.8947985409598151,2.6653299825848507,1.4676245803591212,4.786901711859107,4.41373703508195,4.274976243791954,2.3689756191567217,2.708168175922169,2.6262512901130886,3.4672646223516814,4.852366311725305,4.933552999487813,3.1343540822507547,4.272152245875783,2.8245756130050323,4.91673378066549,2.712834022145478,4.54861975859506
B&D Elec. Polisher,2.8489255653540226,2.71200462830679,1.5940168438411486,0.0,3.764779487502098,1.8762549019094312,2.6717135891515262,1.778521442075533,1.7259472767786985,3.159932291770881,3.9659362570795897,4.2309128996131715,5.12270076440242,2.389220021808569,2.892290673617098,3.4815680871564902,2.1030290396526983,2.3135185724443463,2.9018712108653757,5.1453755512636405,1.9745195491794156,1.842080393364705,2.483225432972483,3.5755359850096444,2.576908877208572,5.221420332305332,1.9123852490037312,3.109144457509266,3.230666466752942,4.318496591343232,3.093697747071092,2.2642362908524274,2.6213579921812693,3.3496504154858164,3.0440822213808127,3.3790561458355817,4.16197223211664,1.8401860661060114,4.987455067323267,4.013869996844629,3.413812355151533,3.826257165917085,2.2500608049210773,2.699246191116193,3.4265397678884697,2.5121372156401836,2.966448032254047,2.112510833508016,4.2894599925768055,4.106835420536854,5.869702889179662,2.0377037374329734,1.399668232834062,2.2723165427589445,0.8860775101383929,4.247797628122351,3.571922459709365,3.801326830563614,1.8052329743780027,1.7955800951875605,2.049145153332277,2.888817228377495,4.31357450827184,4.413066900684124,2.3253608022777836,4.243037374787695,2.1875232035195067,4.230912899613176,2.385276152505778,3.6028077073676843
B&D Weed Trimmer,1.8011830657924492,4.322190406392764,4.586174557389194,3.764779487502098,0.0,4.058044656231497,2.0823744984486057,2.666108672708921,3.4003285522817963,1.0366949795413694,2.247409161416244,1.4811484166685507,2.808759548024549,2.0764580586779977,4.245058454826931,0.8736474388793689,4.160372632175442,4.432516883991623,1.3545751522357665,2.728838107724922,4.201947768986119,2.471907770914582,3.34594085346519,1.8701088769635825,3.786042166300411,2.9632976534664897,2.7206835011214023,1.6461169101481838,5.5375422840662605,2.8381066704374143,1.5449966501312513,4.609549801169758,4.29245257919141,5.539013366189812,3.4282157026179023,2.0473469829965216,2.270965544748084,3.0641062919509583,2.1998801411898494,6.134282306308407,5.8452011833974415,1.5989256578121251,3.666681419820964,2.8610925578713915,2.398186966049218,2.1265324226019753,1.6083695384198458,3.0458037066703776,1.227879930842403,2.566801155339459,2.9951842121132413,4.1923489434334575,3.6621208919367816,3.2994036609374744,4.328340418489868,2.375482162322136,3.2810062128319903,2.5773325572404135,3.1594443358713282,2.455659203752309,3.133943139952092,2.18256117049441,2.1542312141585223,2.304580976165401,2.0236755542955644,6.47018283072542,2.483920470499788,1.48114841666855,3.609157133042715,2.3763530634012073
Battery Op. Toothbrush,3.107668938570948,1.4576386287824594,1.7802444949287128,1.8762549019094312,4.058044656231497,0.0,2.722823625375425,2.7999469282005887,1.3356862943327263,3.5306812639718053,3.4642601831510507,4.279003365915012,4.858157855305011,2.5618856466526516,2.222031864528805,3.907331843083815,2.969659528820722,2.787319303884081,3.1994183840281316,5.081476275592664,0.9672797286076814,2.191752140538534,3.4095435411961335,3.37573882312965,1.6420992277650637,4.936528318278495,2.171971387467695,3.4576797838360496,2.3932903491163775,3.59888742951904,3.205483544653753,1.9530804789765617,1.520508648851974,3.8870131360816003,4.149010268703369,3.8439708129408983,4.573322636681174,1.4704361283090364,5.20772474123362,4.712569805997364,3.902441590772253,3.8208488027171423,2.496432039578509,2.7513167889052643,2.907181563199685,2.828496925103874,3.1705117035584935,2.5576235832562078,4.482979378711401,3.4877825771250133,6.000562186345658,1.2661943918974419,1.7815798419014008,1.588512098321851,1.9206162696654017,4.075023002481867,4.522683787641687,3.2841033386727947,1.5633195239672042,2.0971313160817138,1.6903123770221815,2.7153032575569505,4.051492468067738,4.182609148127768,2.444909672921621,4.869394130633346,2.0679418474655047,4.279003365915016,2.0474445073001837,4.476827056103723
Bissel Hand Vacuum,1.0720610853265915,2.806259642911488,3.374477380702687,2.6717135891515262,2.0823744984486057,2.722823625375425,0.0,2.4926714630041604,2.310025074690367,1.664205848233746,1.6499263953246461,2.136949865589361,2.7165081036389433,1.083575555470755,3.176495596620689,1.9098874284768785,3.5691360876598073,3.615198035824319,1.3428552568887373,3.0330011456024324,2.9052045460234686,1.5029590902216565,3.0623520045882433,1.1736308128744246,2.300879260725349,2.858611594327449,1.21098003548351,1.2513296607182318,4.321698177155679,2.2262078612978513,0.8870878758006656,3.1297814801434436,3.010796261347282,4.782785101600321,3.672380310906839,2.041381869984916,2.6811680884786893,1.707553398798538,3.0420190344425975,5.631105791351748,4.8855901546893925,1.5600108288749597,2.4691670745199716,2.4341207867013135,1.7879071016584398,1.8925259044659675,0.9206762107405813,2.2548746839759533,2.296417090526983,1.9552087116570196,3.9541910681215238,2.638977828788773,2.6950454108305544,1.7893040131574427,2.9836356399945148,2.017879174518548,3.309930504950136,1.6509903832289685,1.702156984193429,1.3826788704085726,1.7378146288276692,0.5480629843918088,1.9473010419238734,2.018274299115233,0.9700221444438732,5.886454961448651,1.4336431163776453,2.1369498655893633,2.2701640948936057,3.0642925822844616
Black & Decker Elec. Knife,2.5083938568250055,3.353878685655624,2.9178370636110365,1.778521442075533,2.666108672708921,2.7999469282005887,2.4926714630041604,0.0,1.9655807219928552,2.084074143499159,3.5672566519864177,3.525061028870436,4.5714147544055574,1.9512004820386666,3.241735564420874,2.40199706748997,2.122449075729994,2.5370122857469384,2.120209542900795,4.563691069855639,2.8293852153617394,1.5732253904376332,1.8325733838257048,3.062830092485007,3.000854137459314,4.759153355886845,1.9773915453260862,2.4883437770594132,4.193460001169075,4.056790602060987,2.585078243861202,3.117218004370244,3.35513584808363,3.7044501808962407,2.392177047502086,2.404920324355129,3.198867471587873,2.186029014694533,4.052033375393523,4.1209673995280545,3.9358619063672946,3.2998431824909713,2.4363877326585546,2.194776707615339,3.075291583246948,2.154783130495508,2.428499218556778,1.8514062274381473,3.2586189322833765,3.821862131973248,5.02893780487481,2.882679220162677,2.1342173945940273,2.48330898532313,2.4569274205043836,3.9269863904795392,3.039515251120133,3.643018622502394,2.3265777262073706,1.710076476174217,2.310108670141298,2.7147402172567405,3.705069811393783,3.9078581746814933,1.9624572487152792,4.470552678793057,1.7970245157155837,3.5250610288704376,2.7967020322372136,2.870471498785278
Black & Decker Sander,2.731105368390045,1.7545787414150336,2.0787615885112096,1.7259472767786985,3.4003285522817963,1.3356862943327263,2.310025074690367,1.9655807219928552,0.0,2.8060930362917103,3.109828071266674,3.824179611922523,4.43492791596871,1.8636243487765682,2.0539822595831003,3.2222371278348065,2.321585841970265,2.0009669723381585,2.6935324970656227,4.705700074421414,1.3243598570050101,1.5432418138501172,2.3758541627464846,2.859007063200838,1.7301452071962717,4.560434800646861,1.5316800218853825,2.855795750922298,2.922213484798034,3.4383706133401084,2.7510039083278057,1.9783940303417593,2.0344280347282435,3.4180088661844645,3.3557409987042717,2.8736705184214975,3.6126407821444975,0.965124616431756,4.562251892865396,4.2243406379839135,3.4597517351004097,3.3637339296810187,1.748490357083216,1.9614801005512108,2.6032051884982117,2.646503155890259,2.691380990345793,1.7645999522805493,3.8059007076781945,3.2640027209813525,5.389012518833391,1.5548211322761574,1.7627990323014304,1.2770089869808792,2.0402251873256105,3.814221715370726,3.658333233913747,3.1557030103159276,1.5684100447225118,1.6577735883856233,1.2630011378249457,2.357544177848514,3.437883408271631,3.7249808044799027,1.7764694096393427,4.432579268890515,1.2533292454874274,3.8241796119225246,1.7350531321233398,3.8282084997730514
Braun Hand Blender,1.5081175922247672,3.757313749693086,3.972391673135126,3.159932291770881,1.0366949795413694,3.5306812639718053,1.664205848233746,2.084074143499159,2.8060930362917103,0.0,2.180947659896205,1.870469827855471,2.9973454326309072,1.5010828173317898,3.7568313505745414,1.0674608457931913,3.6433176197977257,3.8834381449531294,0.9563772573126592,3.0052708265531125,3.6611853412933164,1.934258750057897,2.9515870467470386,1.553799309391641,3.166268510740666,3.1726503239229857,2.1303079217353704,1.4796903992645376,5.006489990771358,2.6772594644579626,1.1503463602378643,3.95032870770923,3.787767551952841,5.098226684092299,3.3296509261871985,1.756481546088614,2.285575139854765,2.548979594555817,2.5980535451853273,5.6688709433510605,5.300660649002357,1.6648158625544773,3.132614488953807,2.568091506237009,2.241827130336102,1.8780926214527363,1.1197277485852892,2.5107461528951744,1.6348938280066154,2.49111278776682,3.5678505307518136,3.6072159466256886,3.265250274844197,2.6593300032624403,3.74504229623576,2.40375851876296,3.247089869069146,2.388902611030617,2.6753294281474456,2.0137221630015123,2.572632368057106,1.7401002407953428,2.2383261159220678,2.3112296065470073,1.5835679548818231,5.993227370195081,1.8831283046596736,1.8704698278554688,3.171112294064621,2.6652160802880442
Bubble Machine,1.8558886311225469,3.338229956428584,4.459326774904425,3.9659362570795897,2.247409161416244,3.4642601831510507,1.6499263953246461,3.5672566519864177,3.109828071266674,2.180947659896205,0.0,1.7739834083611634,2.1244520399763753,2.050071147018177,3.658311875968875,2.3328538402948586,4.698372098818175,4.573245242168555,2.0701959010897037,2.5679717938328217,3.643705438976222,2.6752290447990092,3.9924583762802692,1.0687083187073232,2.762305282372533,2.052365923758211,2.444776227766195,2.1179041494920563,4.896709991003264,1.228025018127179,1.6160915850944375,4.03950750376841,3.528377635175769,5.696779962855796,4.438328469717227,2.641960276909197,2.7830023633318266,2.525411727957056,2.8972234692980368,6.64124977744526,5.925334510193937,1.2999044471166696,3.4303219335827744,2.846976333627695,1.3707483863055987,2.680576800269175,1.7715175860817574,3.29539185119445,2.1925677136516852,0.8660913432997065,3.346351578106248,3.5313164006202107,3.771640864112413,2.524181108908699,4.3282684858267535,1.6056394644166965,4.016317253949004,1.1498745482689958,2.6482444072318576,2.490157632897127,2.4193812538989756,1.4349659823889085,1.1204385878050216,1.4178485177122404,1.8764350453658705,6.88613541292343,2.2948473885386873,1.7739834083611634,2.9330991336731707,3.616443723608883
Bumble Ball Toy,1.7909854032816401,4.409246126722217,4.916733780665487,4.2309128996131715,1.4811484166685507,4.279003365915012,2.136949865589361,3.525061028870436,3.824179611922523,1.870469827855471,1.7739834083611634,0.0,1.9548778922603578,2.5749708265846607,4.604122090545762,1.6425417981445423,4.98496922014177,5.09135156787594,1.7202797457281533,1.7080201609024568,4.477521937819808,3.03254235930161,4.0757895967046,1.6923456002921013,3.9294177955887055,1.8224550507341035,3.0438859920763295,1.9221855675973425,5.886653659761312,2.373953690047117,1.5254303462976389,4.892109078713728,4.433202011763832,6.166467122581197,4.121807943501947,2.6581949355379257,2.6046715770265436,3.3206385685599695,1.7978343041755551,6.994175768302578,6.466895128487149,0.8726026384807651,4.073606505560823,3.4157583073505595,2.320843169794407,2.599216239460585,1.6417778749563954,3.582929575333988,1.1932234273982079,2.015176190351962,2.340470524962794,4.4979505990180515,4.185663947261141,3.5591378399145754,4.727979531633094,1.388965934110253,3.9098148354256295,1.991512341928583,3.399883590079136,2.957553554016906,3.3189958826174797,2.071884702307599,1.6461921644634203,1.4403458772657103,2.4020269776722016,7.293196067603266,2.973007032042579,1.47020941219798e-14,3.872560776910213,2.982521367054259
Cadillac Slide-Out Visor-RBS,2.821743752090724,4.695872297300453,5.580394339956883,5.12270076440242,2.808759548024549,4.858157855305011,2.7165081036389433,4.5714147544055574,4.43492791596871,2.9973454326309072,2.1244520399763753,1.9548778922603578,0.0,3.312185539985078,5.213060109090768,2.8873837072120834,5.790609025273329,5.7756489372218525,2.9051455627488467,1.3469560697034202,5.1270682010260575,3.726504645965063,4.92033476081032,2.114698975937353,4.397553810262334,1.0441548753757188,3.6736601240306848,2.7071083091402373,6.557233918891599,2.3985614237486574,2.4440597554302204,5.452292992851837,5.096134680929865,6.9444013653703,5.3333776527761945,3.2871509846094846,3.243136910480099,3.9582526792420323,1.8531014315370782,7.873963066219151,7.086735228434878,1.935430228910926,4.523098847119822,4.290602794432115,3.1496843041608384,3.7629131587761253,2.5113551980918203,4.147544052321692,2.099050348962558,2.2160802490018576,2.5267512485228325,4.928896614289109,5.011817542200789,3.9462397573366443,5.440258231917256,1.5914246223620738,4.941459718450503,2.2368655856849253,4.089645409225108,3.896851855022451,3.9727388948711293,2.5567061958440784,1.7354028723530184,1.1104101360925398,3.248578838928712,8.158507508468528,3.552756078131414,1.9548778922603516,4.507930191470686,4.437963578874996
Chainsaw Toy Truck 18,1.4731491441643927,2.7502831356270057,3.0602184478001835,2.389220021808569,2.0764580586779977,2.5618856466526516,1.083575555470755,1.9512004820386666,1.8636243487765682,1.5010828173317898,2.050071147018177,2.5749708265846607,3.312185539985078,0.0,2.7040708020420094,1.9725096077741588,2.8553049796323493,3.01360039100243,1.6203345371497477,3.626913790318434,2.6408718804808307,0.9430611513173661,2.40665162186827,1.5108912563346877,2.071185772190259,3.4835195340208185,1.0807294278649404,1.5209333859290093,3.9399799309855834,2.5342079036080336,1.378341282249608,2.8904627076542835,2.7849797507454,4.329977463163819,3.088995120274016,1.8780196007750933,2.5812152498430887,1.5276555342260771,3.458664992329423,5.064083567898188,4.426573220792064,2.0234248395492482,2.0692291051226244,1.9068182226206614,1.7680737103669535,1.876643347889792,1.430904617377124,1.7561791521562526,2.5662132746319473,2.2756066174127776,4.23444513347134,2.3871253811049873,2.2233155850049857,1.5862141571273969,2.782986893652546,2.673730686261408,2.9446519713183643,2.1769103535026684,1.546668393137908,1.0788205884771311,1.5653422107032564,1.271235794703299,2.3569555179441566,2.6177332378965303,0.719627345730471,5.3173292253205435,0.9175410182449982,2.574970826584663,1.9885604595711779,2.8485743311916463
Corvette Vac 23,3.8458489649008136,1.7307083868948212,2.83515909488632,2.892290673617098,4.245058454826931,2.222031864528805,3.176495596620689,3.241735564420874,2.0539822595831003,3.7568313505745414,3.658311875968875,4.604122090545762,5.213060109090768,2.7040708020420094,0.0,4.307448014935412,3.0058855695681808,2.6686987998270384,3.795767163106923,5.7569160904026955,1.70558929526212,2.4850400724293635,3.121322132288812,3.5359095435083163,1.652115575515793,5.290152114947005,2.3737103991011255,3.696438622208281,1.902495098708086,3.968162032288343,3.5840511975592007,1.487673370451808,1.3609907691415628,3.3216836775501744,4.060520097953544,3.4072074357273383,4.069902693142404,2.0888910682611948,5.7351431503512496,4.122684334729419,3.3375872113896046,4.075487002523303,1.83667929915493,2.1655331991734617,2.629200810575527,3.8527541757896704,3.642135799532786,2.2884450800944367,4.6074157366575585,3.8072794366843956,6.398158124047383,1.7274049458788467,2.6677208345776022,1.9955079005967624,2.773264771687893,4.764479979027227,4.101810664171726,3.845986806335658,2.0341089818727673,2.430172748758691,1.9053826597884302,3.1119587502662354,4.115839225369682,4.640574063236558,2.6881402120349542,4.081305947715986,2.275325267127063,4.604122090545762,1.4696748140852347,4.689258946059311
Crossfire Game,1.4376614088886266,4.276491057414041,4.3516780697132225,3.4815680871564902,0.8736474388793689,3.907331843083815,1.9098874284768785,2.40199706748997,3.2222371278348065,1.0674608457931913,2.3328538402948586,1.6425417981445423,2.8873837072120834,1.9725096077741588,4.307448014935412,0.0,3.8730229559688114,4.1490821470943375,1.1449057889015746,2.7687542371766853,4.058143728520683,2.364262658529095,3.1244893162765037,1.9150895016272484,3.7026898217382938,3.079806402730921,2.577776051034698,1.2982055703378914,5.556802810555445,3.059359717275346,1.4639278311796078,4.477480144640816,4.281848102482532,5.276839166226483,3.242413570590569,2.0885171447048103,2.41103145546995,2.942535927092904,2.1520288889306034,5.895736829318876,5.585088897463137,1.7610131667706204,3.5450746836893465,2.782188029893186,2.552029728581683,1.9911754527897862,1.4027546825540333,2.969970589446693,1.3203762012457543,2.743830892430954,3.0551936056893947,4.035918500651658,3.459794514872103,3.1961144838899416,4.07658317508457,2.3586289328742045,3.091687624079347,2.6612542609315097,3.0607470956283627,2.301075244309217,3.0245944746913804,2.1169019958447777,2.1674252323053653,2.2904658677833356,1.9536628024965739,6.283997754111999,2.4073840938541893,1.6425417981445434,3.514061949668607,2.1246016343865373
