,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Chainsaw Toy Truck 18,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Drill and Nail Extractor  11,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Good Times Fishing Reel,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,KRUPS Café Trio,Krups Cheese Grater,Mattel Bubble Extinguisher,Metronome,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Push-n-Go Train 13,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Small Projectile Toy,Stamp Machine 17,Stanley Electric Stapler,Super Maxx Ball Shooter-RBS,Tactical Nerf Toy Gun,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
Dazey Fruit & Veg. Stripper-RBS,3.7903166852671553,3.5714125282748896,2.3640453366755745,2.1030290396526983,4.160372632175442,2.969659528820722,3.5691360876598073,2.122449075729994,2.321585841970265,3.6433176197977257,4.698372098818175,4.98496922014177,5.790609025273329,2.8553049796323493,3.0058855695681808,3.8730229559688114,0.0,1.414845836786487,3.770763304953982,6.040895737921195,2.766957213438806,2.4010847516953007,1.9587465713269636,4.2351842125629355,3.327077785327155,6.0892759483755725,2.8165077124193343,3.4773913061593174,3.6772912697784284,5.202933444913456,3.8823505700129783,2.871029037394799,3.3490971667036176,2.5059917284112427,2.7021136243839643,3.543958161724879,4.343769404611341,2.8201662721680165,5.575189597238818,2.759444244709803,2.5701748146166343,4.652469433955785,2.332900108334466,2.625630391548022,4.026052700883667,3.6095569358028743,3.7805681051761915,2.154121106798186,4.6672787335775245,4.943332397937633,6.378284252599422,2.697137164844705,1.9738046482797909,3.051145272501003,2.2415309998494584,5.26555021472782,3.323189804144484,4.858267993220736,2.830070066981329,2.586736640340872,2.99550084981127,3.7964347177422533,4.813099854667835,5.197282855984862,3.078127524016969,3.117660788803851,2.712420596222524,4.984969220141772,2.7804503620806322,3.772983714932174
De walt sander,3.968085296980642,3.189485453668541,2.402815497862992,2.3135185724443463,4.432516883991623,2.787319303884081,3.615198035824319,2.5370122857469384,2.0009669723381585,3.8834381449531294,4.573245242168555,5.09135156787594,5.7756489372218525,3.01360039100243,2.6686987998270384,4.1490821470943375,1.414845836786487,0.0,3.9943990827975098,6.101101789743044,2.2948137128499866,2.6716976961749728,1.9187302304159648,4.228601999862799,3.1186893916867384,5.967647606775059,2.69991237789323,3.71554905653031,3.343524233355487,5.128084939794902,4.048359187570713,2.5116042521514417,3.110865187137071,1.8682888620541693,3.0350059217338075,3.454036860851178,4.138658345633322,2.5717397949464567,5.676081774698622,2.5817946445846975,1.886604831579391,4.673548993186143,2.0172787519385005,2.435154658367936,3.9637303170861613,4.003861008751838,3.954290211257575,2.2866277215881747,4.816246409646208,4.879708863953831,6.413280912798935,2.607640993042208,2.4808545942101463,2.875805379214704,2.379510985388475,5.2846639594941065,3.2738714455373374,4.827128176493509,2.892794158316085,2.7622521530777977,2.7121225406080884,3.8063957396448123,4.631767870690796,5.1261287478658355,3.0715331990201937,2.8512877176078506,2.722790291701698,5.091351567875941,2.4787346699856996,4.080694051469015
Dremel Electric Engraver-RBS,1.0847036413078732,3.50497204819676,3.8097375759036485,2.9018712108653757,1.3545751522357665,3.1994183840281316,1.3428552568887373,2.120209542900795,2.6935324970656227,0.9563772573126592,2.0701959010897037,1.7202797457281533,2.9051455627488467,1.6203345371497477,3.795767163106923,1.1449057889015746,3.770763304953982,3.9943990827975098,0.0,2.7942398414212417,3.4370710313786987,1.9095183719396351,3.22234998204467,1.5615539525620084,3.0215161552611223,3.0029796988486823,1.9946347299761489,1.4626634903385332,4.904820874234765,2.545861508781593,0.9126699432345916,3.8005875137614504,3.57676299508486,5.177439714511029,3.553770578133353,2.1678607434965915,2.743072122417198,2.32415337647089,2.555493645649977,5.8185312670442135,5.374918046013909,1.597001889380146,3.2084749359630247,2.7416119849362985,2.165530623675852,1.3711121386045972,0.8455350562139838,2.6662807844687286,1.818069718415871,2.3187336190651124,3.6343967810621334,3.3923496650848923,3.0319017787902145,2.491555738462725,3.4712163699622196,2.1150561597980126,3.5266102075411814,2.0388548293156834,2.414922267309627,1.8136843171268515,2.4060804985704247,1.4522008669646072,2.259870677875319,2.1640376010086615,1.4865367277323092,6.132906685208238,1.8641017237068844,1.7202797457281545,3.092704343100188,2.7479003424715644
Drill and Nail Extractor  11,2.728929841472049,5.183529453899493,5.730892139917151,5.1453755512636405,2.728838107724922,5.081476275592664,3.0330011456024324,4.563691069855639,4.705700074421414,3.0052708265531125,2.5679717938328217,1.7080201609024568,1.3469560697034202,3.626913790318434,5.7569160904026955,2.7687542371766853,6.040895737921195,6.101101789743044,2.7942398414212417,0.0,5.444615704874463,4.015761557173168,5.15063309105327,2.568265766649234,4.8695012360512955,1.3451459695853558,4.004779254179139,2.9828484008037184,6.940874721558602,2.737405857328744,2.604770765392902,5.903135450888762,5.492609193717707,7.30606245448726,5.263971295391543,3.712613473641554,3.5866304373812183,4.22386700260336,1.369802094976458,8.201661230027096,7.530120171554111,2.000521135380107,5.053136874750358,4.6682231689042855,3.578470774251752,3.499026651369939,2.6201782482802116,4.558265445299207,2.187269779976113,2.558853370953666,1.9329198541710741,5.376622460700366,5.141010638002406,4.383499381929168,5.59972518982493,1.3670335143106498,5.084909397667586,2.4691076313578724,4.38410722438569,4.107440922671028,4.294731610432984,2.925158143959753,2.3100193866204632,1.424875860136458,3.477616066087628,8.524307360729711,3.9190782770605863,1.7080201609024546,4.980555678444999,4.185069365885581
Durabuilt Hand Vacuum,3.3680840294174423,1.4798882464555594,1.8527856757921168,1.9745195491794156,4.201947768986119,0.9672797286076814,2.9052045460234686,2.8293852153617394,1.3243598570050101,3.6611853412933164,3.643705438976222,4.477521937819808,5.1270682010260575,2.6408718804808307,1.70558929526212,4.058143728520683,2.766957213438806,2.2948137128499866,3.4370710313786987,5.444615704874463,0.0,2.2818745228358814,3.0689561001153023,3.5166433594450592,1.5938256899900114,5.149048249164919,2.1427654188635503,3.5808999235247234,1.9976635414329407,3.928247403032798,3.409048636929012,1.5156947272767594,1.2119206215199119,3.263204334782014,3.9835170733885583,3.6569054829743166,4.358158106031515,1.6005918747221373,5.459548293827763,4.137645076882621,3.21136052548292,3.9787879158417745,2.1303662101150995,2.4423737635015805,2.9155644615652516,3.241180124917798,3.4009105561761332,2.4223571802733246,4.611084419744932,3.7803618084248276,6.21746844562033,1.3256046625928908,2.0504516419871592,1.7506369506425707,1.94193893434023,4.416693139767306,4.213708539354459,3.610733508221315,1.7746586183054676,2.1742290935959807,1.6744055990991407,2.9431840577759316,4.148461205508397,4.443312643536122,2.531538882882192,4.227145453026588,2.163653695792879,4.477521937819811,1.7817570739031516,4.456852606484015
Electric Can Opener,1.9369918684543592,2.5125891672452805,2.5708929709252035,1.842080393364705,2.471907770914582,2.191752140538534,1.5029590902216565,1.5732253904376332,1.5432418138501172,1.934258750057897,2.6752290447990092,3.03254235930161,3.726504645965063,0.9430611513173661,2.4850400724293635,2.364262658529095,2.4010847516953007,2.6716976961749728,1.9095183719396351,4.015761557173168,2.2818745228358814,0.0,2.1000612097870106,2.124286668137092,2.0855411296789548,3.9460127137575913,1.0715998398006705,1.905848593482663,3.6399678571878322,3.0839800242575506,1.8460214253938176,2.570372408364332,2.556967208955882,3.9499203828443905,2.910049879951795,2.0825354034779697,2.9026601752986703,1.3841834543316167,3.7990617047452386,4.656598285711103,4.005755859566131,2.556725341658961,1.6963096532848636,1.8644138878325613,2.180747739394456,1.977867245250628,1.8283426280878396,1.1671471779670837,2.959610161347301,2.836089655760684,4.696694841097973,2.0425154754836905,1.752526332833842,1.5432576596852603,2.1911873097851786,3.169226237593609,3.087696261555175,2.647421665499201,1.3237587226139553,1.0307687578042963,1.5413550084494743,1.7177879199620245,2.9804297033577725,3.1627540513239203,1.131595590811157,4.880879276820619,0.8471247506782886,3.032542359301612,1.974617080877221,3.0840833980502103
Electric Pencil Sharpener,3.25236328915864,3.7256350831992258,3.218930577143471,2.483225432972483,3.34594085346519,3.4095435411961335,3.0623520045882433,1.8325733838257048,2.3758541627464846,2.9515870467470386,3.9924583762802692,4.0757895967046,4.92033476081032,2.40665162186827,3.121322132288812,3.1244893162765037,1.9587465713269636,1.9187302304159648,3.22234998204467,5.15063309105327,3.0689561001153023,2.1000612097870106,0.0,3.542971344599415,3.3884120609905524,5.075448107722619,2.32263598169935,2.8945755756308613,4.325687531589345,4.694955577481425,3.313255835935773,3.25159859151103,3.6802829726148625,2.891635737502562,1.703150502296638,2.29234043931072,2.788282964172465,2.629303244299064,4.554703320855254,3.5802227668390354,3.1772017915464477,3.736972958513715,1.919024803746991,1.877182173643853,3.425362245102776,3.4335933707577264,3.2260282523802486,1.7337159927384693,3.710230261492629,4.361608503423649,5.215634187865876,3.2290449177459366,2.6671658118178097,3.036865146710695,2.8468114313336614,4.51576735918844,2.103246828320914,4.306683795083391,2.843682254009905,2.3558136958017792,2.659003845113875,3.3316150604732973,3.901290479712315,4.378370110368224,2.4595245820468628,3.874312772287281,2.3902671151084274,4.075789596704602,2.7079445674704252,2.905181628639792
Ertl Bumble Ball,1.477514878769055,3.2791990760142085,4.117415625970262,3.5755359850096444,1.8701088769635825,3.37573882312965,1.1736308128744246,3.062830092485007,2.859007063200838,1.553799309391641,1.0687083187073232,1.6923456002921013,2.114698975937353,1.5108912563346877,3.5359095435083163,1.9150895016272484,4.2351842125629355,4.228601999862799,1.5615539525620084,2.568265766649234,3.5166433594450592,2.124286668137092,3.542971344599415,0.0,2.6979688247439824,2.196829382037322,2.0334337281577706,1.6489763532666852,4.841159254496136,1.5573763483171246,0.9297004437417582,3.79827411157229,3.458486927772762,5.483709875937325,4.151239212869511,2.105149802202985,2.4561424164657284,2.3633617355978713,2.654242049935969,6.294866361779792,5.5643267470113384,1.0626610334293036,3.0843381499412774,2.7785792271870386,1.635413950849432,2.3674917629541916,1.1798002656002438,2.778418238086602,1.9179653678057424,1.341093208190333,3.441757418228815,3.355587575910509,3.510642507390375,2.283762090726769,3.9527247563309205,1.6407791174303477,3.7342983744395313,1.2401376025482653,2.4959711381247267,2.223969668523838,2.338731670412245,1.044951090593048,1.3829177484427462,1.3986707600018855,1.5448656905887237,6.526425155380349,1.8607285093042316,1.6923456002920994,2.9069159080462907,3.4046599900918677
F.Price Remote Control Car,2.905186409728929,1.2595262285937203,2.7242813655581783,2.576908877208572,3.786042166300411,1.6420992277650637,2.300879260725349,3.000854137459314,1.7301452071962717,3.166268510740666,2.762305282372533,3.9294177955887055,4.397553810262334,2.071185772190259,1.652115575515793,3.7026898217382938,3.327077785327155,3.1186893916867384,3.0215161552611223,4.8695012360512955,1.5938256899900114,2.0855411296789548,3.3884120609905524,2.6979688247439824,0.0,4.449509024519217,1.798718253555997,3.1251435430024355,2.5131289154244265,2.964140203034665,2.785801176756543,1.6865694131205913,1.3951925993807919,4.121237532184902,4.302170270373528,3.278003080921979,3.9739246185993546,1.555066267846894,5.0326637026150784,4.976450809846605,4.106026906892481,3.3374141303622173,2.142280684893182,2.350097694283868,2.0728016611281403,3.01497183169455,2.8185357669008138,2.4482165786787777,4.093806399447514,2.8882522047821677,5.776934330740856,1.2501567031071767,2.469842510600788,1.0423959923297064,2.6213524061418223,3.7450563601461533,4.2885943254935555,2.765992961309537,1.4092187680718065,1.9165102949556376,1.2393035167787994,2.199048760413687,3.4440148543596916,3.728437085054543,2.093126470347688,5.088500285564325,1.728101019612822,3.9294177955887064,1.5209928566984183,4.482907905459618
Fisher Price Bubble Mower,2.837693742059165,4.780573109845951,5.732084939529857,5.221420332305332,2.9632976534664897,4.936528318278495,2.858611594327449,4.759153355886845,4.560434800646861,3.1726503239229857,2.052365923758211,1.8224550507341035,1.0441548753757188,3.4835195340208185,5.290152114947005,3.079806402730921,6.0892759483755725,5.967647606775059,3.0029796988486823,1.3451459695853558,5.149048249164919,3.9460127137575913,5.075448107722619,2.196829382037322,4.449509024519217,0.0,3.774331056090521,3.0532191428569004,6.5646052215996065,2.2726318587905974,2.5851127605346975,5.545793164077684,5.096421330010954,7.123937158627591,5.42359205646256,3.4796243954572232,3.256249138110757,4.026093473423531,2.099328107001966,8.110073799487067,7.27736432516214,1.766741398169669,4.7307314109602565,4.4094151822414105,3.092929532062189,3.7862685255751773,2.7196356264967125,4.4450511669120205,2.402252559021028,2.0827498376349447,2.396037429776713,5.106418251696049,5.190691725946793,4.096133738404407,5.581432144085224,1.3934571626988628,4.980631072577761,2.0543231482694537,4.205758495214842,4.0215672063017225,4.0090569054320015,2.70636792782112,1.8206612870908856,1.1710003011715564,3.3227402979099128,8.355390191839277,3.7582662788684678,1.8224550507340995,4.602232494800081,4.413381008745453
Good Times Fishing Reel,1.9299874820983838,2.172779633850521,2.726375950724828,1.9123852490037312,2.7206835011214023,2.171971387467695,1.21098003548351,1.9773915453260862,1.5316800218853825,2.1303079217353704,2.444776227766195,3.0438859920763295,3.6736601240306848,1.0807294278649404,2.3737103991011255,2.577776051034698,2.8165077124193343,2.69991237789323,1.9946347299761489,4.004779254179139,2.1427654188635503,1.0715998398006705,2.32263598169935,2.0334337281577706,1.798718253555997,3.774331056090521,0.0,1.9549091349698187,3.513759396791208,2.9423935923361992,1.83477428427951,2.1883249329901098,2.4465131295131095,3.857799726093567,3.2132806024459866,1.9669463210387972,2.764071862108652,1.0416147027588079,3.8820573477612745,4.719247062591032,3.922342008330723,2.455480029880034,1.5076750376993036,1.919949921238679,2.0679183226430387,2.2565353892906255,1.7947710350604922,1.5636405252494083,3.060778898956709,2.7088650971296153,4.766429161045672,1.9148171278945636,2.1216246563476857,1.239570946629652,2.148688762029202,3.0400875752431205,3.005735360553608,2.487394710459042,1.1755232963851754,0.9677439248449146,1.0058344284245742,1.3880287266874405,2.7124123043516812,2.9831483265974237,0.8895653527661284,4.918655520824103,0.9764121062152489,3.0438859920763313,1.5390072522975304,3.2562121440743805
Green Eagle Putting Cup,1.3812544275190952,3.6426113415681325,3.7972972790207726,3.109144457509266,1.6461169101481838,3.4576797838360496,1.2513296607182318,2.4883437770594132,2.855795750922298,1.4796903992645376,2.1179041494920563,1.9221855675973425,2.7071083091402373,1.5209333859290093,3.696438622208281,1.2982055703378914,3.4773913061593174,3.71554905653031,1.4626634903385332,2.9828484008037184,3.5808999235247234,1.905848593482663,2.8945755756308613,1.6489763532666852,3.1251435430024355,3.0532191428569004,1.9549091349698187,0.0,5.018141280109871,2.941612989276034,1.1244309467908133,3.762826471667838,3.7109428182405164,4.755968812979104,3.249981213766337,1.8531145081735168,2.422013117889405,2.4539784300359635,2.6543584814209398,5.523168525881541,5.004849898102661,1.7270690283610293,2.7776965899163533,2.4462204106247145,2.222749010164075,2.3046665550638985,1.0142837507954003,2.33260680106289,1.617344989619488,2.5749156145703918,3.556572594148446,3.3405899375296264,3.036188231636417,2.6421100147274066,3.47987624929509,2.3224358441669053,2.9112115932876574,2.477414837104752,2.415134719443474,1.8293938079001022,2.482192910230534,1.4513933266083294,1.9279945518603367,2.1832455435594755,1.5790931782596964,5.876619115282217,1.999878602900404,1.922185567597343,2.7553820016259856,2.5177601653780006
Hair Dryer,4.852367484234147,2.353240730275786,2.795269318718274,3.230666466752942,5.5375422840662605,2.3932903491163775,4.321698177155679,4.193460001169075,2.922213484798034,5.006489990771358,4.896709991003264,5.886653659761312,6.557233918891599,3.9399799309855834,1.902495098708086,5.556802810555445,3.6772912697784284,3.343524233355487,4.904820874234765,6.940874721558602,1.9976635414329407,3.6399678571878322,4.325687531589345,4.841159254496136,2.5131289154244265,6.5646052215996065,3.513759396791208,5.018141280109871,0.0,4.98325233804052,4.7946111504175635,2.0064470611089646,1.7287342598422586,3.7273657685785473,5.06384483382574,4.951036303810087,5.624609103979035,3.0155384893716684,7.060603946361491,4.353706756439661,3.5816570867032174,5.335976171742773,3.1998438499244966,3.5910851359455083,3.987167501831041,4.549331068879776,4.832354771324599,3.6478146581398545,6.0581680767901736,4.9246156103773995,7.7106613391383165,2.2284373987698785,3.102170287290297,2.9880142325404995,2.9359288445905825,5.841250184964233,5.262143154337876,4.859782095805153,2.8898621842886287,3.462936476491141,2.9617177453376833,4.287575402785645,5.536150536393332,5.900448993971915,3.884774614181903,4.195653694086855,3.5299613808116335,5.886653659761315,2.657559361896938,5.724801268485482
Hamilton  Elec. Mixer,2.408257411589869,3.429143476908362,4.671776172515761,4.318496591343232,2.8381066704374143,3.59888742951904,2.2262078612978513,4.056790602060987,3.4383706133401084,2.6772594644579626,1.228025018127179,2.373953690047117,2.3985614237486574,2.5342079036080336,3.968162032288343,3.059359717275346,5.202933444913456,5.128084939794902,2.545861508781593,2.737405857328744,3.928247403032798,3.0839800242575506,4.694955577481425,1.5573763483171246,2.964140203034665,2.2726318587905974,2.9423935923361992,2.941612989276034,4.98325233804052,0.0,2.1325660214545703,4.343712327852076,3.6758423688976474,6.4174317612511125,5.1867122934517855,3.4065672588993183,3.6141133766308515,2.899276876562251,3.3469769248802694,7.280204115246173,6.502857795008836,1.899158679581773,3.999255783225936,3.6613377338320587,2.0307756896723808,2.871238976997438,2.3399087637252465,3.797773155664625,2.9562219621913055,0.6434600314366372,3.806144938117385,3.7635172317598795,4.093889898689527,2.7180025366795912,4.6553357402414335,1.8102031028300485,4.918281817735766,0.8970061858333864,3.017636217551499,3.066207227307924,2.884041766954967,1.9053866254997398,2.046504160166864,1.792900725203217,2.4616997063219936,7.474035128648031,2.6784037713927566,2.373953690047117,3.4987558410957598,4.4243409332405275
Horseman Swimming Toy,0.9896470689531238,3.3225899407123074,3.768232565993588,3.093697747071092,1.5449966501312513,3.205483544653753,0.8870878758006656,2.585078243861202,2.7510039083278057,1.1503463602378643,1.6160915850944375,1.5254303462976389,2.4440597554302204,1.378341282249608,3.5840511975592007,1.4639278311796078,3.8823505700129783,4.048359187570713,0.9126699432345916,2.604770765392902,3.409048636929012,1.8460214253938176,3.313255835935773,0.9297004437417582,2.785801176756543,2.5851127605346975,1.83477428427951,1.1244309467908133,4.7946111504175635,2.1325660214545703,0.0,3.6616258121870042,3.4017281591070323,5.231553228175194,3.753540190389191,2.0663244399037377,2.5934294525381283,2.256968242298431,2.5900825746036116,5.978803657650655,5.366809171514646,1.1084384793035804,2.999602741478696,2.7189118409127766,1.8469695865314408,1.8491235209273822,0.4082689030817563,2.533779965911841,1.7247148715931595,1.8844758799100536,3.549150143247477,3.248404462337326,3.1311332858385628,2.3245970748803026,3.5192003516168744,1.7171512617137392,3.514253291121232,1.6176221037913525,2.2636249551456906,1.8426720248222865,2.276800277896719,0.8803872027307361,1.8247343676258942,1.7228995879763254,1.3738009969446248,6.254751884350659,1.798305888796442,1.5254303462976389,2.850685107652206,2.9731471151804696
Hot Glue Gun 21,3.822585070296893,1.4797263575701087,2.310591326641128,2.2642362908524274,4.609549801169758,1.9530804789765617,3.1297814801434436,3.117218004370244,1.9783940303417593,3.95032870770923,4.03950750376841,4.892109078713728,5.452292992851837,2.8904627076542835,1.487673370451808,4.477480144640816,2.871029037394799,2.5116042521514417,3.8005875137614504,5.903135450888762,1.5156947272767594,2.570372408364332,3.25159859151103,3.79827411157229,1.6865694131205913,5.545793164077684,2.1883249329901098,3.762826471667838,2.0064470611089646,4.343712327852076,3.6616258121870042,0.0,1.5817291239321165,3.1201332072941526,4.285292921623906,3.660283113981455,4.485546417140071,2.0345908100425247,5.893429133820056,3.9142686596651286,2.946953120245632,4.347266578050267,1.8147672158772525,2.7464788580492234,3.2428088713012944,3.8317755736838297,3.6279539128351077,2.4054480931374793,4.9067335035368185,4.2121206303563765,6.769026190299904,1.262578557978994,2.5224799702610228,1.8898576376967635,1.9335018488869058,4.872308743876562,4.315338686420327,4.0412734461506545,1.9615806850792288,2.4337109344600543,1.876553991134004,3.116496108002457,4.450561551356952,4.80344583354333,2.8409456899176897,3.904274149406735,2.427118365954848,4.892109078713728,1.6495870798090435,4.911432251379047
Humidifier,3.545178513936402,1.4185384728407373,2.3584060803457936,2.6213579921812693,4.29245257919141,1.520508648851974,3.010796261347282,3.35513584808363,2.0344280347282435,3.787767551952841,3.528377635175769,4.433202011763832,5.096134680929865,2.7849797507454,1.3609907691415628,4.281848102482532,3.3490971667036176,3.110865187137071,3.57676299508486,5.492609193717707,1.2119206215199119,2.556967208955882,3.6802829726148625,3.458486927772762,1.3951925993807919,5.096421330010954,2.4465131295131095,3.7109428182405164,1.7287342598422586,3.6758423688976474,3.4017281591070323,1.5817291239321165,0.0,3.8867342992843428,4.4496536659053145,3.8766071727256386,4.558241655641922,1.986429591878099,5.664185640903407,4.694809564990595,3.8220418264122635,3.9389978095386113,2.470707817910376,2.7191288254494754,2.6105568672911574,3.443356745569372,3.466751353259189,2.7035715193370495,4.669958743945146,3.5528087066448792,6.359833379536898,1.523553304712556,2.4590400758493236,1.911737919985297,2.5156498389049924,4.417802786620479,4.618836961069675,3.4453440732630267,1.8265804173100761,2.4042695133818883,1.909564034108848,2.9154079266885256,4.167354381666309,4.459794167225405,2.7321431244986045,4.699262097157488,2.4049709600275846,4.433202011763834,1.8304590453161238,4.785293177402055
