,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Columbia Power Manta buoy,Inflatable mat,Transparent film on window,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,74 Chevy Tailgate Support-RBS,B&D Cordless Screwdriver,B&D Weed Trimmer,Bissel Hand Vacuum,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,Dremel Electric Engraver-RBS,Green Eagle Putting Cup,Hot Glue Gun 21,Moen Kitchen Water Faucet,Paint Sprayer,Pneumatic Air Ratchet,Power Caulk 20,Presto Popcorn Popper,Real Power Tool Shop,SKIL Power Screwdriver-RBS,Salton Sandwich Maker,Stamp Machine 17,Super Maxx Ball Shooter-RBS,Wagner Paint Roller,bicycle brake 18
Heel-impact shoe harvester,0.0,33.13608305156177,23.280893453645618,12.328828005937938,11.999999999999991,20.97617696340302,15.297058540778348,28.071337695236398,30.789608636681287,11.224972160321817,16.43167672515497,17.549928774784245,16.431676725154972,18.493242008906915,42.540420218397095,39.406626113509915,43.15357682439116,41.97496157517306,43.658523671947336,43.99037867097458,43.01266270758281,39.640655389132604,42.59160645956986,42.34959135241069,39.24206247667621,44.40240526287745,40.01181092444195,40.86506789854931,42.28371462054417,42.4863442467919,45.12205669071391,40.30321271330242,39.56669750457874,41.418339179619764,40.74767538869845,41.650013717397634,42.582718006007994
Innowattech road/rail,33.13608305156177,0.0,15.874507866387539,32.58834147360064,37.38983819167983,18.49324200890692,40.32369030731191,13.416407864998734,54.4242592967511,27.999999999999996,31.559467676118985,22.93468988235942,31.559467676118988,43.26661530556786,16.12340663062848,13.907497255753544,16.37085431109369,15.952250745968232,17.233767722864624,18.180284169742464,16.209942714022404,12.899761403528188,16.22555950450942,15.796199055565133,14.127561876470846,18.001635328576295,14.366084880842273,14.560659755365084,15.650948007359185,16.264069782086363,18.384776310850242,13.688872712995943,13.454697168882063,14.391682468571894,14.720448357593659,15.428751823156487,15.071224106883887
Piezo backpack straps,23.280893453645618,15.874507866387539,0.0,22.49444375840398,28.319604517012586,7.071067811865462,31.208973068654466,12.806248474865699,45.49725266430929,17.999999999999996,22.627416997969505,12.727922061357852,22.62741699796951,34.11744421846395,25.38134177396539,22.31909741178432,25.885828504364863,24.95059935861762,26.627105549151423,27.32256818991561,25.70414788890023,22.190501412060204,25.260023089850627,25.276173700209117,22.141733208829166,27.350664973690243,22.801622930997205,23.697708068533103,24.79251910086503,25.361384303348384,28.248893783651074,22.883955116775834,22.14722420024064,24.383462453715516,23.589413365561064,24.506383312281272,25.255391541020455
U Texas prototype Piezo Vib,12.328828005937938,32.58834147360064,22.49444375840398,0.0,19.287301521985906,20.78460969082653,18.81488772222678,28.46049894151542,33.0454232837166,16.06237840420901,21.494185260204667,20.493901531919203,21.494185260204674,21.494185260204667,42.418031567254346,39.21898631031889,43.07513061534601,41.94831918852998,43.586088571498635,44.12377142045431,42.87350172385355,39.508044552282165,42.408505170853694,42.236142997040616,39.22612325466714,44.33865964234052,39.98542969277401,40.96761848435355,42.07471965996907,42.324818140284854,45.166359162544865,40.176363320206114,39.25148934073765,41.41768185281169,40.694074737256344,41.64067966265292,42.41392186101112
WindTamer,11.999999999999991,37.38983819167983,28.319604517012586,19.287301521985906,0.0,25.690465157330255,9.486832980505135,31.937438845342626,26.981475126464066,16.673332000533055,14.071247279470285,21.63330765278393,14.071247279470285,14.07124727947028,46.21440261017677,43.252594336568485,46.610194550162525,45.70616894770379,47.113263578206755,47.55935291159292,46.5509183163797,43.433933212793804,46.1930704178247,46.042572275883536,43.020965693844545,47.963988114806355,43.81973396504289,44.2560416480166,45.9163518472721,46.14835908615051,48.49742261192856,44.07187634536338,43.604254212026596,45.09129423668919,44.437565458662604,45.26794075923208,46.14788697020652
Columbia Power Manta buoy,20.97617696340302,18.49324200890692,7.071067811865462,20.78460969082653,25.690465157330255,0.0,28.6705423736629,12.727922061357855,43.12771730569564,15.297058540778353,19.748417658131483,9.165151389911674,19.74841765813149,31.654383582688816,27.494204505416885,24.297221797720734,28.021699430799575,26.95891324480381,28.58121416498092,29.14868501524907,27.913305790347348,24.39904436490109,27.433531476131613,27.318207889333955,23.956579654281427,29.442949947785326,24.77788846509634,25.598918597443248,27.10845672096053,27.378515723792212,30.199337741082996,25.082934265788793,24.32279704290478,26.390124017126038,25.53788898574608,26.50859974059796,27.495537845405508
Inflatable mat,15.297058540778348,40.32369030731191,31.208973068654466,18.81488772222678,9.486832980505135,28.6705423736629,0.0,34.8998567332303,23.748684174075816,19.89974874213239,18.0,24.779023386727733,18.0,9.486832980505131,49.28274488047937,46.36625035448346,49.70800179475308,48.77292536239071,50.20096105281172,50.634889645080115,49.633511002328135,46.538178344750925,49.27589199147167,49.1074706681669,46.10411499431658,51.05432553542634,46.90693799245297,47.36360349758501,48.99877857397353,49.222046460598726,51.59457335805774,47.16115566191976,46.67561131266667,48.1720828560647,47.51576156861946,48.35525809257055,49.228550315701916
Transparent film on window,28.071337695236398,13.416407864998734,12.806248474865699,28.46049894151542,31.937438845342626,12.727922061357855,34.8998567332303,0.0,49.05099387372289,22.583179581272432,26.038433132583066,16.970562748477136,26.03843313258307,37.86819245752297,19.906085025896886,17.474017046870454,20.30000048572784,19.29621112135467,20.91542842581756,21.517786944643227,20.289415594972706,17.255357655196057,19.790333965466413,19.735268830043097,16.46204359554148,21.8945788496155,17.330967680008847,17.981951250680773,19.545188559332978,19.7656158404643,22.58317958127242,17.821650354878845,17.14424471749362,18.680090562643844,17.943604083191435,18.815707226178095,19.913224708625464
Seiko Thermic watch,30.789608636681287,54.4242592967511,45.49725266430929,33.0454232837166,26.981475126464066,43.12771730569564,23.748684174075816,49.05099387372289,0.0,35.014282800023175,33.31666249791536,39.496835316262995,33.31666249791536,20.445048300260854,63.548056105195045,60.803728902033484,63.94940022981104,63.060082276836205,64.41149347018018,64.92125186519299,63.896589590581456,60.94338155439921,63.52358653430299,63.3929613802099,60.45366503722749,65.32775618948304,61.28603341895851,61.745344083398564,63.25626817384912,63.49390688000186,65.84831053261732,61.52300579426185,61.03804741709571,62.45595552662168,61.85568403833011,62.65947536045041,63.45794468138743
Enocean ECT 310 Perpetuum,11.224972160321817,27.999999999999996,17.999999999999996,16.06237840420901,16.673332000533055,15.297058540778353,19.89974874213239,22.583179581272432,35.014282800023175,0.0,9.797958971132692,11.224972160321826,9.797958971132699,23.065125189341575,37.17057281883082,33.954655852524006,37.72904424832786,36.600608912556964,38.2506590523786,38.61864351407194,37.61773938657586,34.19087528164076,37.19431928330902,36.98426700741929,33.78690739195734,39.02858500353683,34.58167869090245,35.362781939520985,36.888679192321625,37.10541503078507,39.72404813208241,34.87680415568563,34.19005907234797,36.025226054218564,35.32371820687016,36.22637041598294,37.19734512082712
Micropelt TE-power probe,16.43167672515497,31.559467676118985,22.627416997969505,21.494185260204667,14.071247279470285,19.748417658131483,18.0,26.038433132583066,33.31666249791536,9.797958971132692,0.0,15.165750888103085,1.0805156823142815e-14,21.63330765278393,40.0466620324055,36.98966783967495,40.37028391227452,39.54194156610745,40.89872655373159,41.37501721292017,40.34839723530923,37.17412508324318,39.98965117087132,39.88317984426685,36.8134707528985,41.743791824381304,37.60299975594693,37.989074672858834,39.71364371856211,39.96740451285513,42.26109321823087,37.85025293267335,37.426829592403955,38.89184123226763,38.24390770811716,39.052495584095716,39.94974446819001
Micropelt STM-PEM,17.549928774784245,22.93468988235942,12.727922061357852,20.493901531919203,21.63330765278393,9.165151389911674,24.779023386727733,16.970562748477136,39.496835316262995,11.224972160321826,15.165750888103085,0.0,15.16575088810309,27.8926513619627,31.774449090459466,28.52833781392958,32.26035286611001,31.197944584581737,32.80486467993185,33.22116551414483,32.188499187076054,28.730920470041134,31.761451999091484,31.594052042053534,28.269608324171088,33.62866785389799,29.10051526534093,29.784205858998096,31.4584930185224,31.69438754348651,34.29285639896449,29.401258156997287,28.781881928088882,30.59665021071865,29.852254292331075,30.7567258396045,31.780451464644802
Solar powered Sterling engine,16.431676725154972,31.559467676118988,22.62741699796951,21.494185260204674,14.071247279470285,19.74841765813149,18.0,26.03843313258307,33.31666249791536,9.797958971132699,1.0805156823142815e-14,15.16575088810309,0.0,21.63330765278393,40.04666203240551,36.98966783967496,40.37028391227452,39.54194156610745,40.89872655373159,41.37501721292018,40.348397235309235,37.17412508324318,39.989651170871326,39.883179844266856,36.8134707528985,41.74379182438131,37.60299975594694,37.98907467285884,39.71364371856212,39.96740451285513,42.261093218230876,37.85025293267336,37.426829592403955,38.89184123226763,38.24390770811717,39.05249558409572,39.949744468190026
Solar/wind streetlamp,18.493242008906915,43.26661530556786,34.11744421846395,21.494185260204667,14.07124727947028,31.654383582688816,9.486832980505131,37.86819245752297,20.445048300260854,23.065125189341575,21.63330765278393,27.8926513619627,21.63330765278393,0.0,52.3431645708713,49.465861227977406,52.7945134351132,51.83186873859196,53.278639024117865,53.70188124609268,52.70657295573484,49.62960339315894,52.34909080857327,52.16482425034885,49.1769798746058,54.134500606150276,49.9835230739943,50.458147510604405,52.07157801065842,52.28717499726283,54.680892457969264,50.23961506754058,49.73825889026708,51.24328558400061,50.584562575936765,51.4322419287442,52.29983614272833
74 Chevy Tailgate Support-RBS,42.540420218397095,16.12340663062848,25.38134177396539,42.418031567254346,46.21440261017677,27.494204505416885,49.28274488047937,19.906085025896886,63.548056105195045,37.17057281883082,40.0466620324055,31.774449090459466,40.04666203240551,52.3431645708713,0.0,3.6324496446590975,1.8011830657924486,1.072061085326584,1.7909854032816446,2.821743752090723,1.4376614088886357,3.7903166852671424,1.0847036413078748,1.3812544275190977,3.822585070296895,2.7266555117348474,3.037896197542504,2.7860926719434187,1.4107075731282497,1.0032577591676068,3.4763147567427786,2.877084597219571,3.5855259367017704,3.3275333451078346,2.2565320864912444,1.4263802930612512,2.5289222813232577
B&D Cordless Screwdriver,39.406626113509915,13.907497255753544,22.31909741178432,39.21898631031889,43.252594336568485,24.297221797720734,46.36625035448346,17.474017046870454,60.803728902033484,33.954655852524006,36.98966783967495,28.52833781392958,36.98966783967496,49.465861227977406,3.6324496446590975,0.0,4.586174557389194,3.3744773807026975,4.916733780665488,5.580394339956883,4.351678069713231,2.364045336675584,3.809737575903649,3.797297279020777,2.3105913266411306,5.7308711474294,2.351911481308363,3.274760584227027,3.4536480835145893,3.6851978081581414,6.518925914950321,1.8947985409598151,1.6106822114358919,4.41373703508195,2.3689756191567297,3.134354082250752,4.54861975859506
B&D Weed Trimmer,43.15357682439116,16.37085431109369,25.885828504364863,43.07513061534601,46.610194550162525,28.021699430799575,49.70800179475308,20.30000048572784,63.94940022981104,37.72904424832786,40.37028391227452,32.26035286611001,40.37028391227452,52.7945134351132,1.8011830657924486,4.586174557389194,0.0,2.082374498448601,1.4811484166685491,2.8087595480245517,0.8736474388793664,4.160372632175424,1.3545751522357719,1.6461169101481816,4.609549801169767,2.1998801411898534,3.635701349835366,2.8610925578713826,2.1265324226019784,1.608369538419843,2.995184212113244,3.662120891936788,4.483682445069638,3.2810062128319886,3.159444335871321,2.0236755542955662,2.3763530634011985
Bissel Hand Vacuum,41.97496157517306,15.952250745968232,24.95059935861762,41.94831918852998,45.70616894770379,26.95891324480381,48.77292536239071,19.29621112135467,63.060082276836205,36.600608912556964,39.54194156610745,31.197944584581737,39.54194156610745,51.83186873859196,1.072061085326584,3.3744773807026975,2.082374498448601,0.0,2.1369498655893517,2.716508103638932,1.9098874284768803,3.569136087659805,1.342855256888732,1.25132966071824,3.1297814801434587,3.04201903444259,2.3882524631357263,2.43412078670131,1.8925259044659688,0.9206762107405809,3.9541910681215144,2.695045410830576,3.2327484725436118,3.309930504950138,1.7021569841934339,0.9700221444438751,3.0642925822844598
Bumble Ball Toy,43.658523671947336,17.233767722864624,26.627105549151423,43.586088571498635,47.113263578206755,28.58121416498092,50.20096105281172,20.91542842581756,64.41149347018018,38.2506590523786,40.89872655373159,32.80486467993185,40.89872655373159,53.278639024117865,1.7909854032816446,4.916733780665488,1.4811484166685491,2.1369498655893517,0.0,1.9548778922603545,1.6425417981445398,4.984969220141753,1.7202797457281556,1.92218556759734,4.892109078713738,1.7978343041755505,4.173773609351091,3.415758307350547,2.599216239460595,1.6417778749563907,2.340470524962795,4.185663947261156,4.954401975214926,3.909814835425626,3.39988359007913,2.4020269776722025,2.9825213670542556
Cadillac Slide-Out Visor-RBS,43.99037867097458,18.180284169742464,27.32256818991561,44.12377142045431,47.55935291159292,29.14868501524907,50.634889645080115,21.517786944643227,64.92125186519299,38.61864351407194,41.37501721292017,33.22116551414483,41.37501721292018,53.70188124609268,2.821743752090723,5.580394339956883,2.8087595480245517,2.716508103638932,1.9548778922603545,0.0,2.8873837072120807,5.7906090252733105,2.905145562748845,2.707108309140237,5.452292992851847,1.853101431537078,4.714485552783274,4.290602794432103,3.7629131587761258,2.5113551980918163,2.526751248522834,5.0118175422008004,5.677180998619334,4.941459718450503,4.089645409225101,3.248578838928716,4.4379635788749905
Crossfire Game,43.01266270758281,16.209942714022404,25.70414788890023,42.87350172385355,46.5509183163797,27.913305790347348,49.633511002328135,20.289415594972706,63.896589590581456,37.61773938657586,40.34839723530923,32.188499187076054,40.348397235309235,52.70657295573484,1.4376614088886357,4.351678069713231,0.8736474388793664,1.9098874284768803,1.6425417981445398,2.8873837072120807,0.0,3.8730229559688,1.1449057889015866,1.2982055703378947,4.477480144640827,2.1520288889306,3.4178304790898055,2.7821880298931814,1.9911754527898013,1.4027546825540338,3.0551936056893925,3.4597945148721196,4.237889875017916,3.0916876240793485,3.060747095628365,1.953662802496578,2.1246016343865373
Dazey Fruit & Veg. Stripper-RBS,39.640655389132604,12.899761403528188,22.190501412060204,39.508044552282165,43.433933212793804,24.39904436490109,46.538178344750925,17.255357655196057,60.94338155439921,34.19087528164076,37.17412508324318,28.730920470041134,37.17412508324318,49.62960339315894,3.7903166852671424,2.364045336675584,4.160372632175424,3.569136087659805,4.984969220141753,5.7906090252733105,3.8730229559688,0.0,3.7707633049539684,3.4773913061593027,2.871029037394794,5.575189597238804,2.0579677468288677,2.6256303915480204,3.6095569358028623,3.7805681051761786,6.378284252599409,1.9738046482797797,2.212981553035322,3.3231898041444836,2.8300700669813317,3.078127524016954,3.7729837149321708
Dremel Electric Engraver-RBS,42.59160645956986,16.22555950450942,25.260023089850627,42.408505170853694,46.1930704178247,27.433531476131613,49.27589199147167,19.790333965466413,63.52358653430299,37.19431928330902,39.98965117087132,31.761451999091484,39.989651170871326,52.34909080857327,1.0847036413078748,3.809737575903649,1.3545751522357719,1.342855256888732,1.7202797457281556,2.905145562748845,1.1449057889015866,3.7707633049539684,0.0,1.4626634903385394,3.8005875137614553,2.5554936456499804,2.9570222971334235,2.7416119849362963,1.3711121386045984,0.8455350562139817,3.6343967810621387,3.0319017787902247,3.6453297204845287,3.5266102075411894,2.41492226730962,1.4865367277323125,2.747900342471569
Green Eagle Putting Cup,42.34959135241069,15.796199055565133,25.276173700209117,42.236142997040616,46.042572275883536,27.318207889333955,49.1074706681669,19.735268830043097,63.3929613802099,36.98426700741929,39.88317984426685,31.594052042053534,39.883179844266856,52.16482425034885,1.3812544275190977,3.797297279020777,1.6461169101481816,1.25132966071824,1.92218556759734,2.707108309140237,1.2982055703378947,3.4773913061593027,1.4626634903385394,0.0,3.7628264716678492,2.654358481420942,2.786269307366623,2.44622041062471,2.304666555063903,1.0142837507954066,3.556572594148446,3.036188231636426,3.623339293733178,2.9112115932876574,2.415134719443475,1.5790931782597002,2.5177601653779966
Hot Glue Gun 21,39.24206247667621,14.127561876470846,22.141733208829166,39.22612325466714,43.020965693844545,23.956579654281427,46.10411499431658,16.46204359554148,60.45366503722749,33.78690739195734,36.8134707528985,28.269608324171088,36.8134707528985,49.1769798746058,3.822585070296895,2.3105913266411306,4.609549801169767,3.1297814801434587,4.892109078713738,5.452292992851847,4.477480144640827,2.871029037394794,3.8005875137614553,3.7628264716678492,0.0,5.893429133820068,1.5609789903571167,2.7464788580492416,3.831775573683828,3.627953912835119,6.769026190299917,2.5224799702610214,2.2044081688753816,4.315338686420339,1.9615806850792445,2.8409456899177012,4.911432251379055
Moen Kitchen Water Faucet,44.40240526287745,18.001635328576295,27.350664973690243,44.33865964234052,47.963988114806355,29.442949947785326,51.05432553542634,21.8945788496155,65.32775618948304,39.02858500353683,41.743791824381304,33.62866785389799,41.74379182438131,54.134500606150276,2.7266555117348474,5.7308711474294,2.1998801411898534,3.04201903444259,1.7978343041755505,1.853101431537078,2.1520288889306,5.575189597238804,2.5554936456499804,2.654358481420942,5.893429133820068,0.0,4.869798883974075,4.343694174460145,3.440570098199713,2.5514891777531936,1.7405278657702816,5.022603472665589,5.737228477233714,4.465049597030468,4.463336010608139,3.3424408199712,3.611689515000736
Paint Sprayer,40.01181092444195,14.366084880842273,22.801622930997205,39.98542969277401,43.81973396504289,24.77788846509634,46.90693799245297,17.330967680008847,61.28603341895851,34.58167869090245,37.60299975594693,29.10051526534093,37.60299975594694,49.9835230739943,3.037896197542504,2.351911481308363,3.635701349835366,2.3882524631357263,4.173773609351091,4.714485552783274,3.4178304790898055,2.0579677468288677,2.9570222971334235,2.786269307366623,1.5609789903571167,4.869798883974075,0.0,2.026090161216412,3.1781748907436014,2.7949532844625433,5.85079930513014,2.214764022871819,2.154161243707067,3.315669134415074,1.7864157946261556,2.054434882923909,3.964641344436369
Pneumatic Air Ratchet,40.86506789854931,14.560659755365084,23.697708068533103,40.96761848435355,44.2560416480166,25.598918597443248,47.36360349758501,17.981951250680773,61.745344083398564,35.362781939520985,37.989074672858834,29.784205858998096,37.98907467285884,50.458147510604405,2.7860926719434187,3.274760584227027,2.8610925578713826,2.43412078670131,3.415758307350547,4.290602794432103,2.7821880298931814,2.6256303915480204,2.7416119849362963,2.44622041062471,2.7464788580492416,4.343694174460145,2.026090161216412,0.0,3.0345702217180994,2.6795464720795077,4.896776900473858,2.5281925652750705,3.3242726704421353,2.5469743932616837,2.0097926195178655,1.7758745460238095,3.0021550557808325
Power Caulk 20,42.28371462054417,15.650948007359185,24.79251910086503,42.07471965996907,45.9163518472721,27.10845672096053,48.99877857397353,19.545188559332978,63.25626817384912,36.888679192321625,39.71364371856211,31.4584930185224,39.71364371856212,52.07157801065842,1.4107075731282497,3.4536480835145893,2.1265324226019784,1.8925259044659688,2.599216239460595,3.7629131587761258,1.9911754527898013,3.6095569358028623,1.3711121386045984,2.304666555063903,3.831775573683828,3.440570098199713,3.1781748907436014,3.0345702217180994,0.0,1.8544264811536566,4.2523550769174285,2.4237234949206847,3.2332786804988944,3.810022898167842,2.2564791579317682,1.7901510970500345,2.7976238838135634
Presto Popcorn Popper,42.4863442467919,16.264069782086363,25.361384303348384,42.324818140284854,46.14835908615051,27.378515723792212,49.222046460598726,19.7656158404643,63.49390688000186,37.10541503078507,39.96740451285513,31.69438754348651,39.96740451285513,52.28717499726283,1.0032577591676068,3.6851978081581414,1.608369538419843,0.9206762107405809,1.6417778749563907,2.5113551980918163,1.4027546825540338,3.7805681051761786,0.8455350562139817,1.0142837507954066,3.627953912835119,2.5514891777531936,2.7949532844625433,2.6795464720795077,1.8544264811536566,0.0,3.587358425212357,3.0818484418116556,3.5900668252702403,3.477524533524143,2.2388160511632687,1.3903246664888753,2.9565399377741723
Real Power Tool Shop,45.12205669071391,18.384776310850242,28.248893783651074,45.166359162544865,48.49742261192856,30.199337741082996,51.59457335805774,22.58317958127242,65.84831053261732,39.72404813208241,42.26109321823087,34.29285639896449,42.261093218230876,54.680892457969264,3.4763147567427786,6.518925914950321,2.995184212113244,3.9541910681215144,2.340470524962795,2.526751248522834,3.0551936056893925,6.378284252599409,3.6343967810621387,3.556572594148446,6.769026190299917,1.7405278657702816,5.85079930513014,4.896776900473858,4.2523550769174285,3.587358425212357,0.0,5.740222007615258,6.676471482328122,4.729156955591147,5.2102675649091665,4.101316984375869,3.761321675475061
SKIL Power Screwdriver-RBS,40.30321271330242,13.688872712995943,22.883955116775834,40.176363320206114,44.07187634536338,25.082934265788793,47.16115566191976,17.821650354878845,61.52300579426185,34.87680415568563,37.85025293267335,29.401258156997287,37.85025293267336,50.23961506754058,2.877084597219571,1.8947985409598151,3.662120891936788,2.695045410830576,4.185663947261156,5.0118175422008004,3.4597945148721196,1.9738046482797797,3.0319017787902247,3.036188231636426,2.5224799702610214,5.022603472665589,2.214764022871819,2.5281925652750705,2.4237234949206847,3.0818484418116556,5.740222007615258,0.0,1.5689017193558037,3.6319693790435945,1.5843234552636556,2.2519983051723775,3.501233301222412
Salton Sandwich Maker,39.56669750457874,13.454697168882063,22.14722420024064,39.25148934073765,43.604254212026596,24.32279704290478,46.67561131266667,17.14424471749362,61.03804741709571,34.19005907234797,37.426829592403955,28.781881928088882,37.426829592403955,49.73825889026708,3.5855259367017704,1.6106822114358919,4.483682445069638,3.2327484725436118,4.954401975214926,5.677180998619334,4.237889875017916,2.212981553035322,3.6453297204845287,3.623339293733178,2.2044081688753816,5.737228477233714,2.154161243707067,3.3242726704421353,3.2332786804988944,3.5900668252702403,6.676471482328122,1.5689017193558037,0.0,4.206155223053807,2.123858749530269,3.036404795324195,4.366887998106446
Stamp Machine 17,41.418339179619764,14.391682468571894,24.383462453715516,41.41768185281169,45.09129423668919,26.390124017126038,48.1720828560647,18.680090562643844,62.45595552662168,36.025226054218564,38.89184123226763,30.59665021071865,38.89184123226763,51.24328558400061,3.3275333451078346,4.41373703508195,3.2810062128319886,3.309930504950138,3.909814835425626,4.941459718450503,3.0916876240793485,3.3231898041444836,3.5266102075411894,2.9112115932876574,4.315338686420339,4.465049597030468,3.315669134415074,2.5469743932616837,3.810022898167842,3.477524533524143,4.729156955591147,3.6319693790435945,4.206155223053807,0.0,3.525115778277734,2.851734278003277,1.9618717595361335
Super Maxx Ball Shooter-RBS,40.74767538869845,14.720448357593659,23.589413365561064,40.694074737256344,44.437565458662604,25.53788898574608,47.51576156861946,17.943604083191435,61.85568403833011,35.32371820687016,38.24390770811716,29.852254292331075,38.24390770811717,50.584562575936765,2.2565320864912444,2.3689756191567297,3.159444335871321,1.7021569841934339,3.39988359007913,4.089645409225101,3.060747095628365,2.8300700669813317,2.41492226730962,2.415134719443475,1.9615806850792445,4.463336010608139,1.7864157946261556,2.0097926195178655,2.2564791579317682,2.2388160511632687,5.2102675649091665,1.5843234552636556,2.123858749530269,3.525115778277734,0.0,1.3925492530216717,3.5690870645095623
Wagner Paint Roller,41.650013717397634,15.428751823156487,24.506383312281272,41.64067966265292,45.26794075923208,26.50859974059796,48.35525809257055,18.815707226178095,62.65947536045041,36.22637041598294,39.052495584095716,30.7567258396045,39.05249558409572,51.4322419287442,1.4263802930612512,3.134354082250752,2.0236755542955662,0.9700221444438751,2.4020269776722025,3.248578838928716,1.953662802496578,3.078127524016954,1.4865367277323125,1.5790931782597002,2.8409456899177012,3.3424408199712,2.054434882923909,1.7758745460238095,1.7901510970500345,1.3903246664888753,4.101316984375869,2.2519983051723775,3.036404795324195,2.851734278003277,1.3925492530216717,0.0,2.7445587279475623
bicycle brake 18,42.582718006007994,15.071224106883887,25.255391541020455,42.41392186101112,46.14788697020652,27.495537845405508,49.228550315701916,19.913224708625464,63.45794468138743,37.19734512082712,39.94974446819001,31.780451464644802,39.949744468190026,52.29983614272833,2.5289222813232577,4.54861975859506,2.3763530634011985,3.0642925822844598,2.9825213670542556,4.4379635788749905,2.1246016343865373,3.7729837149321708,2.747900342471569,2.5177601653779966,4.911432251379055,3.611689515000736,3.964641344436369,3.0021550557808325,2.7976238838135634,2.9565399377741723,3.761321675475061,3.501233301222412,4.366887998106446,1.9618717595361335,3.5690870645095623,2.7445587279475623,0.0
